genus,species
Acipenser,baerii
Acipenser,gueldenstaedtii
Acipenser,naccarii
Acipenser,nudiventris
Acipenser,ruthenus
Acipenser,stellatus
Acipenser,sturio
Huso,huso
Polyodon,spathula
Anguilla,anguilla
Atherina,boyeri
Atherina,hepsetus
Alosa,alosa
Alosa,fallax
Alosa,immaculata
Alosa,tanaica
Clupeonella,cultriventris
Cobitis,bilineata
Cobitis,elongata
Cobitis,elongatoides
Cobitis,strumicae
Cobitis,taenia
Misgurnus,anguillicaudatus
Misgurnus,fossilis
Sabanejewia,balcanica
Sabanejewia,baltica
Sabanejewia,larvata
Abramis,brama
Alburnoides,bipunctatus
Alburnoides,rossicus
Alburnus,alburnus
Alburnus,arborella
Ballerus,ballerus
Ballerus,sapa
Barbus,balcanicus
Barbus,barbus
Barbus,borysthenicus
Barbus,meridionalis
Barbus,peloponnesius
Barbus,plebejus
Blicca,bjoerkna
Carassius,auratus
Carassius,carassius
Carassius,gibelio
Chondrostoma,nasus
Chondrostoma,soetta
Ctenopharyngodon,idella
Cyprinus,carpio
Gobio,gobio
Gobio,obtusirostris
Hypophthalmichthys,molitrix
Hypophthalmichthys,nobilis
Leucaspius,delineatus
Leuciscus,burdigalensis
Leuciscus,idus
Leuciscus,leuciscus
Parachondrostoma,toxostoma
Pelecus,cultratus
Petroleuciscus,borysthenicus
Phoxinus,phoxinus
Phoxinus,septimaniae
Pimephales,promelas
Protochondrostoma,genei
Pseudorasbora,parva
Rhodeus,amarus
Rhodeus,sericeus
Rhynchocypris,percnurus
Romanogobio,albipinnatus
Romanogobio,belingi
Romanogobio,kesslerii
Romanogobio,uranoscopus
Romanogobio,vladykovi
Rutilus,meidingeri
Rutilus,pigus
Rutilus,rutilus
Rutilus,virgo
Scardinius,erythrophthalmus
Scardinius,hesperidicus
Squalius,cephalus
Squalius,squalus
Telestes,souffia
Tinca,tinca
Vimba,vimba
Barbatula,barbatula
Aphanius,fasciatus
Gambusia,affinis
Gambusia,holbrooki
Poecilia,reticulata
Esox,lucius
Umbra,krameri
Umbra,pygmaea
Lota,lota
Gasterosteus,aculeatus
Gasterosteus,gymnurus
Pungitius,laevis
Pungitius,platygaster
Pungitius,pungitius
Osmerus,eperlanus
Salaria,fluviatilis
Lepomis,gibbosus
Micropterus,salmoides
Oreochromis,niloticus
Babka,gymnotrachelus
Benthophiloides,brauneri
Benthophilus,nudus
Gobius,cobitis
Gobius,niger
Knipowitschia,caucasica
Knipowitschia,panizzae
Knipowitschia,punctatissima
Mesogobius,batrachocephalus
Neogobius,fluviatilis
Neogobius,melanostomus
Padogobius,bonelli
Pomatoschistus,marmoratus
Pomatoschistus,microps
Pomatoschistus,minutus
Ponticola,kessleri
Proterorhinus,marmoratus
Proterorhinus,semilunaris
Dicentrarchus,labrax
Perccottus,glenii
Gymnocephalus,acerina
Gymnocephalus,baloni
Gymnocephalus,cernua
Gymnocephalus,schraetser
Perca,fluviatilis
Percarina,demidoffii
Sander,lucioperca
Sander,volgensis
Zingel,asper
Zingel,streber
Zingel,zingel
Platichthys,flesus
Pleuronectes,platessa
Coregonus,albula
Coregonus,arenicolus
Coregonus,lavaretus
Coregonus,macrophthalmus
Coregonus,maraena
Coregonus,oxyrinchus
Coregonus,wartmanni
Hucho,hucho
Oncorhynchus,mykiss
Salmo,salar
Salvelinus,fontinalis
Salvelinus,profundus
Salvelinus,umbla
Thymallus,thymallus
Cottus,gobio
Cottus,perifretum
Cottus,rhenanus
Clarias,gariepinus
Ameiurus,melas
Ameiurus,nebulosus
Ictalurus,punctatus
Silurus,glanis
Nerophis,ophidion
Syngnathus,abaster
Chelon,labrosus
Mugil,cephalus
Cobitis,lutheri
Misgurnus,mohoity
Alburnus,tarichi
Cyprinus,rubrofuscus
Gobio,cynocephalus
Leuciscus,aspius
Leucos,aula
Esox,aquitanicus
Esox,reichertii
Micropterus,dolomieu
Cichlasoma,bimaculatum
Sander,canadensis
Sander,vitreus
Oncorhynchus,aguabonita
Pterygoplichthys,gibbiceps
Pangasianodon,hypophthalmus
Silurus,soldatovi
Myleus,pacu
Chelon,auratus
Chelon,ramada
Tetraodon,mbu
