"","species","status"
"1","Acipenser baerii","E"
"2","Acipenser gueldenstaedtii","N"
"3","Acipenser naccarii","N"
"4","Acipenser nudiventris","N"
"5","Acipenser ruthenus","U"
"6","Acipenser stellatus","N"
"7","Acipenser sturio","N"
"8","Huso huso","N"
"9","Polyodon spathula","E"
"10","Anguilla anguilla","N"
"11","Atherina boyeri","N"
"12","Atherina hepsetus","N"
"13","Alosa alosa","N"
"14","Alosa fallax","N"
"15","Alosa immaculata","N"
"16","Alosa tanaica","N"
"17","Clupeonella cultriventris","N"
"18","Cobitis bilineata","N"
"19","Cobitis elongata","N"
"20","Cobitis elongatoides","N"
"21","Cobitis strumicae","N"
"22","Cobitis taenia","N"
"23","Misgurnus anguillicaudatus","E"
"24","Misgurnus fossilis","N"
"25","Sabanejewia balcanica","N"
"26","Sabanejewia baltica","N"
"27","Sabanejewia larvata","N"
"28","Abramis brama","N"
"29","Alburnoides bipunctatus","N"
"30","Alburnoides rossicus","N"
"31","Alburnus alburnus","U"
"32","Alburnus arborella","N"
"33","Ballerus ballerus","N"
"34","Ballerus sapa","E"
"35","Barbus balcanicus","N"
"36","Barbus barbus","N"
"37","Barbus borysthenicus","N"
"38","Barbus meridionalis","N"
"39","Barbus peloponnesius","N"
"40","Barbus plebejus","N"
"41","Blicca bjoerkna","U"
"42","Carassius auratus","E"
"43","Carassius carassius","U"
"44","Carassius gibelio","E"
"45","Chondrostoma nasus","N"
"46","Chondrostoma soetta","N"
"47","Ctenopharyngodon idella","E"
"48","Cyprinus carpio","U"
"49","Gobio gobio","U"
"50","Gobio obtusirostris","N"
"51","Hypophthalmichthys molitrix","E"
"52","Hypophthalmichthys nobilis","E"
"53","Leucaspius delineatus","N"
"54","Leuciscus burdigalensis","N"
"55","Leuciscus idus","N"
"56","Leuciscus leuciscus","N"
"57","Parachondrostoma toxostoma","N"
"58","Pelecus cultratus","N"
"59","Petroleuciscus borysthenicus","N"
"60","Phoxinus phoxinus","N"
"61","Phoxinus septimaniae","N"
"62","Pimephales promelas","E"
"63","Protochondrostoma genei","U"
"64","Pseudorasbora parva","E"
"65","Rhodeus amarus","N"
"66","Rhodeus sericeus","E"
"67","Rhynchocypris percnurus","N"
"68","Romanogobio albipinnatus","N"
"69","Romanogobio belingi","N"
"70","Romanogobio kesslerii","N"
"71","Romanogobio uranoscopus","N"
"72","Romanogobio vladykovi","N"
"73","Rutilus meidingeri","N"
"74","Rutilus pigus","N"
"75","Rutilus rutilus","U"
"76","Rutilus virgo","N"
"77","Scardinius erythrophthalmus","U"
"78","Scardinius hesperidicus","N"
"79","Squalius cephalus","N"
"80","Squalius squalus","N"
"81","Telestes souffia","N"
"82","Tinca tinca","N"
"83","Vimba vimba","U"
"84","Barbatula barbatula","N"
"85","Aphanius fasciatus","N"
"86","Gambusia affinis","E"
"87","Gambusia holbrooki","E"
"88","Poecilia reticulata","E"
"89","Esox lucius","U"
"90","Umbra krameri","N"
"91","Umbra pygmaea","E"
"92","Lota lota","N"
"93","Gasterosteus aculeatus","N"
"94","Gasterosteus gymnurus","N"
"95","Pungitius laevis","N"
"96","Pungitius platygaster","N"
"97","Pungitius pungitius","N"
"98","Osmerus eperlanus","N"
"99","Salaria fluviatilis","N"
"100","Lepomis gibbosus","E"
"101","Micropterus salmoides","E"
"102","Oreochromis niloticus","E"
"103","Babka gymnotrachelus","E"
"104","Benthophiloides brauneri","N"
"105","Benthophilus nudus","U"
"106","Gobius cobitis","N"
"107","Gobius niger","N"
"108","Knipowitschia caucasica","N"
"109","Knipowitschia panizzae","N"
"110","Knipowitschia punctatissima","N"
"111","Mesogobius batrachocephalus","N"
"112","Neogobius fluviatilis","E"
"113","Neogobius melanostomus","E"
"114","Padogobius bonelli","N"
"115","Pomatoschistus marmoratus","N"
"116","Pomatoschistus microps","N"
"117","Pomatoschistus minutus","N"
"118","Ponticola kessleri","U"
"119","Proterorhinus marmoratus","N"
"120","Proterorhinus semilunaris","E"
"121","Dicentrarchus labrax","N"
"122","Perccottus glenii","E"
"123","Gymnocephalus acerina","N"
"124","Gymnocephalus baloni","N"
"125","Gymnocephalus cernua","N"
"126","Gymnocephalus schraetser","N"
"127","Perca fluviatilis","U"
"128","Percarina demidoffii","N"
"129","Sander lucioperca","U"
"130","Sander volgensis","N"
"131","Zingel asper","N"
"132","Zingel streber","N"
"133","Zingel zingel","N"
"134","Platichthys flesus","N"
"135","Pleuronectes platessa","N"
"136","Coregonus albula","N"
"137","Coregonus arenicolus","N"
"138","Coregonus lavaretus","N"
"139","Coregonus macrophthalmus","N"
"140","Coregonus maraena","N"
"141","Coregonus oxyrinchus","N"
"142","Coregonus wartmanni","N"
"143","Hucho hucho","N"
"144","Oncorhynchus mykiss","E"
"145","Salmo salar","N"
"146","Salvelinus fontinalis","E"
"147","Salvelinus profundus","N"
"148","Salvelinus umbla","N"
"149","Thymallus thymallus","N"
"150","Cottus gobio","N"
"151","Cottus perifretum","N"
"152","Cottus rhenanus","N"
"153","Clarias gariepinus","E"
"154","Ameiurus melas","E"
"155","Ameiurus nebulosus","E"
"156","Ictalurus punctatus","E"
"157","Silurus glanis","U"
"158","Nerophis ophidion","N"
"159","Syngnathus abaster","N"
"160","Chelon labrosus","N"
"161","Mugil cephalus","N"
"162","Cobitis lutheri","E"
"163","Misgurnus mohoity","E"
"164","Alburnus tarichi","N"
"165","Cyprinus rubrofuscus","E"
"166","Gobio cynocephalus","E"
"167","Leuciscus aspius","E"
"168","Leucos aula","N"
"169","Esox aquitanicus","N"
"170","Esox reichertii","E"
"171","Micropterus dolomieu","E"
"172","Cichlasoma bimaculatum","E"
"173","Sander canadensis","E"
"174","Sander vitreus","E"
"175","Oncorhynchus aguabonita","E"
"176","Pterygoplichthys gibbiceps","E"
"177","Pangasianodon hypophthalmus","E"
"178","Silurus soldatovi","E"
"179","Myleus pacu","E"
"180","Chelon auratus","N"
"181","Chelon ramada","N"
"182","Tetraodon mbu","E"
