"","species","peter","iucn","fre","googling","status"
"1","Anguilla bengalensis",NA,NA,NA,"MARINE","drop"
"2","Conger conger",NA,NA,NA,"MARINE","drop"
"3","Muraena helena",NA,NA,NA,"MARINE","drop"
"4","Dalophis imberbis",NA,NA,NA,"MARINE","drop"
"5","Ophichthus bonaparti",NA,NA,NA,"MARINE","drop"
"6","Ophisurus serpens",NA,NA,NA,"MARINE","drop"
"7","Belone belone",NA,NA,NA,"MARINE","drop"
"8","Belone svetovidovi",NA,NA,NA,"MARINE","drop"
"9","Clupea harengus",NA,NA,NA,"MARINE","drop"
"10","Clupea pallasii",NA,NA,NA,"MARINE","drop"
"11","Sardina pilchardus",NA,NA,NA,"MARINE","drop"
"12","Sprattus sprattus",NA,NA,NA,"MARINE","drop"
"13","Engraulis encrasicolus",NA,NA,NA,"MARINE","drop"
"14","Gadus macrocephalus",NA,NA,NA,"MARINE","drop"
"15","Gadus morhua",NA,NA,NA,"MARINE","drop"
"16","Merlangius merlangus",NA,NA,NA,"MARINE","drop"
"17","Pollachius pollachius",NA,NA,NA,"MARINE","drop"
"18","Raniceps raninus",NA,NA,NA,"MARINE","drop"
"19","Trisopterus capelanus",NA,NA,NA,"MARINE","drop"
"20","Trisopterus luscus",NA,NA,NA,"MARINE","drop"
"21","Trisopterus minutus",NA,NA,NA,"MARINE","drop"
"22","Ciliata mustela",NA,NA,NA,"MARINE","drop"
"23","Ciliata septentrionalis",NA,NA,NA,"MARINE","drop"
"24","Enchelyopus cimbrius",NA,NA,NA,"MARINE","drop"
"25","Gaidropsarus mediterraneus",NA,NA,NA,"MARINE","drop"
"26","Gaidropsarus vulgaris",NA,NA,NA,"MARINE","drop"
"27","Phycis phycis",NA,NA,NA,"MARINE","drop"
"28","Spinachia spinachia",NA,NA,NA,"MARINE","drop"
"29","Lepadogaster candolii",NA,NA,NA,"MARINE","drop"
"30","Ammodytes marinus",NA,NA,NA,"MARINE","drop"
"31","Ammodytes tobianus",NA,NA,NA,"MARINE","drop"
"32","Gymnammodytes cicerelus",NA,NA,NA,"MARINE","drop"
"33","Hyperoplus lanceolatus",NA,NA,NA,"MARINE","drop"
"34","Apogon imberbis",NA,NA,NA,"MARINE","drop"
"35","Aidablennius sphynx",NA,NA,NA,"MARINE","drop"
"36","Coryphoblennius galerita",NA,NA,NA,"MARINE","drop"
"37","Lipophrys pholis",NA,NA,NA,"MARINE","drop"
"38","Lipophrys trigloides",NA,NA,NA,"MARINE","drop"
"39","Microlipophrys canevae",NA,NA,NA,"MARINE","drop"
"40","Microlipophrys dalmatinus",NA,NA,NA,"MARINE","drop"
"41","Parablennius gattorugine",NA,NA,NA,"MARINE","drop"
"42","Parablennius incognitus",NA,NA,NA,"MARINE","drop"
"43","Parablennius pilicornis",NA,NA,NA,"MARINE","drop"
"44","Parablennius rouxi",NA,NA,NA,"MARINE","drop"
"45","Parablennius sanguinolentus",NA,NA,NA,"MARINE","drop"
"46","Parablennius tentacularis",NA,NA,NA,"MARINE","drop"
"47","Parablennius zvonimiri",NA,NA,NA,"MARINE","drop"
"48","Brama brama",NA,NA,NA,"MARINE","drop"
"49","Callionymus lyra",NA,NA,NA,"MARINE","drop"
"50","Callionymus pusillus",NA,NA,NA,"MARINE","drop"
"51","Callionymus reticulatus",NA,NA,NA,"MARINE","drop"
"52","Callionymus risso",NA,NA,NA,"MARINE","drop"
"53","Lichia amia",NA,NA,NA,"MARINE","drop"
"54","Seriola dumerili",NA,NA,NA,"MARINE","drop"
"55","Trachurus mediterraneus",NA,NA,NA,"MARINE","drop"
"56","Trachurus murphyi",NA,NA,NA,"MARINE","drop"
"57","Trachurus trachurus",NA,NA,NA,"MARINE","drop"
"58","Centropomus viridis",NA,NA,NA,"MARINE","drop"
"59","Aphia minuta",NA,NA,NA,"MARINE","drop"
"60","Crystallogobius linearis",NA,NA,NA,"MARINE","drop"
"61","Eviota afelei",NA,NA,NA,"MARINE","drop"
"62","Gobiosoma bosc",NA,NA,NA,"MARINE","drop"
"63","Gobius auratus",NA,NA,NA,"MARINE","drop"
"64","Gobius bucchichi",NA,NA,NA,"MARINE","drop"
"65","Gobius cruentatus",NA,NA,NA,"MARINE","drop"
"66","Gobius geniporus",NA,NA,NA,"MARINE","drop"
"67","Gobius incognitus",NA,NA,NA,"MARINE","drop"
"68","Gobius paganellus",NA,NA,NA,"MARINE","drop"
"69","Gobius vittatus",NA,NA,NA,"MARINE","drop"
"70","Gobius xanthocephalus",NA,NA,NA,"MARINE","drop"
"71","Gobiusculus flavescens",NA,NA,NA,"MARINE","drop"
"72","Pomatoschistus lozanoi",NA,NA,NA,"MARINE","drop"
"73","Pomatoschistus pictus",NA,NA,NA,"MARINE","drop"
"74","Ponticola cephalargoides",NA,NA,NA,"MARINE","drop"
"75","Ponticola ratan",NA,NA,NA,"MARINE","drop"
"76","Thorogobius ephippiatus",NA,NA,NA,"MARINE","drop"
"77","Zebrus zebrus",NA,NA,NA,"MARINE","drop"
"78","Istiophorus albicans",NA,NA,NA,"MARINE","drop"
"79","Centrolabrus melanocercus",NA,NA,NA,"MARINE","drop"
"80","Coris julis",NA,NA,NA,"MARINE","drop"
"81","Ctenolabrus rupestris",NA,NA,NA,"MARINE","drop"
"82","Labrus bergylta",NA,NA,NA,"MARINE","drop"
"83","Labrus merula",NA,NA,NA,"MARINE","drop"
"84","Labrus mixtus",NA,NA,NA,"MARINE","drop"
"85","Labrus viridis",NA,NA,NA,"MARINE","drop"
"86","Symphodus bailloni",NA,NA,NA,"MARINE","drop"
"87","Symphodus cinereus",NA,NA,NA,"MARINE","drop"
"88","Symphodus doderleini",NA,NA,NA,"MARINE","drop"
"89","Symphodus mediterraneus",NA,NA,NA,"MARINE","drop"
"90","Symphodus melops",NA,NA,NA,"MARINE","drop"
"91","Symphodus ocellatus",NA,NA,NA,"MARINE","drop"
"92","Symphodus roissali",NA,NA,NA,"MARINE","drop"
"93","Symphodus rostratus",NA,NA,NA,"MARINE","drop"
"94","Symphodus tinca",NA,NA,NA,"MARINE","drop"
"95","Thalassoma pavo",NA,NA,NA,"MARINE","drop"
"96","Mullus barbatus",NA,NA,NA,"MARINE","drop"
"97","Mullus surmuletus",NA,NA,NA,"MARINE","drop"
"98","Pholis gunnellus",NA,NA,NA,"MARINE","drop"
"99","Chromis chromis",NA,NA,NA,"MARINE","drop"
"100","Argyrosomus regius",NA,NA,NA,"MARINE","drop"
"101","Micropogonias undulatus",NA,NA,NA,"MARINE","drop"
"102","Sciaena umbra",NA,NA,NA,"MARINE","drop"
"103","Scomber scombrus",NA,NA,NA,"MARINE","drop"
"104","Thunnus thynnus",NA,NA,NA,"MARINE","drop"
"105","Centropristis philadelphica",NA,NA,NA,"MARINE","drop"
"106","Epinephelus marginatus",NA,NA,NA,"MARINE","drop"
"107","Serranus cabrilla",NA,NA,NA,"MARINE","drop"
"108","Serranus hepatus",NA,NA,NA,"MARINE","drop"
"109","Serranus scriba",NA,NA,NA,"MARINE","drop"
"110","Boops boops",NA,NA,NA,"MARINE","drop"
"111","Dentex dentex",NA,NA,NA,"MARINE","drop"
"112","Diplodus annularis",NA,NA,NA,"MARINE","drop"
"113","Diplodus cervinus",NA,NA,NA,"MARINE","drop"
"114","Diplodus puntazzo",NA,NA,NA,"MARINE","drop"
"115","Diplodus sargus",NA,NA,NA,"MARINE","drop"
"116","Diplodus vulgaris",NA,NA,NA,"MARINE","drop"
"117","Lithognathus mormyrus",NA,NA,NA,"MARINE","drop"
"118","Oblada melanura",NA,NA,NA,"MARINE","drop"
"119","Pagellus acarne",NA,NA,NA,"MARINE","drop"
"120","Pagellus bogaraveo",NA,NA,NA,"MARINE","drop"
"121","Pagellus erythrinus",NA,NA,NA,"MARINE","drop"
"122","Pagrus pagrus",NA,NA,NA,"MARINE","drop"
"123","Sarpa salpa",NA,NA,NA,"MARINE","drop"
"124","Spicara maena",NA,NA,NA,"MARINE","drop"
"125","Spicara smaris",NA,NA,NA,"MARINE","drop"
"126","Spondyliosoma cantharus",NA,NA,NA,"MARINE","drop"
"127","Sphyraena viridensis",NA,NA,NA,"MARINE","drop"
"128","Echiichthys vipera",NA,NA,NA,"MARINE","drop"
"129","Trachinus armatus",NA,NA,NA,"MARINE","drop"
"130","Trachinus draco",NA,NA,NA,"MARINE","drop"
"131","Tripterygion delaisi",NA,NA,NA,"MARINE","drop"
"132","Tripterygion tripteronotum",NA,NA,NA,"MARINE","drop"
"133","Zoarces viviparus",NA,NA,NA,"MARINE","drop"
"134","Arnoglossus laterna",NA,NA,NA,"MARINE","drop"
"135","Arnoglossus thori",NA,NA,NA,"MARINE","drop"
"136","Limanda limanda",NA,NA,NA,"MARINE","drop"
"137","Microstomus kitt",NA,NA,NA,"MARINE","drop"
"138","Phrynorhombus norvegicus",NA,NA,NA,"MARINE","drop"
"139","Scophthalmus maeoticus",NA,NA,NA,"MARINE","drop"
"140","Scophthalmus maximus",NA,NA,NA,"MARINE","drop"
"141","Scophthalmus rhombus",NA,NA,NA,"MARINE","drop"
"142","Buglossidium luteum",NA,NA,NA,"MARINE","drop"
"143","Pegusa lascaris",NA,NA,NA,"MARINE","drop"
"144","Pegusa nasuta",NA,NA,NA,"MARINE","drop"
"145","Solea senegalensis",NA,NA,NA,"MARINE","drop"
"146","Solea solea",NA,NA,NA,"MARINE","drop"
"147","Synapturichthys kleinii",NA,NA,NA,"MARINE","drop"
"148","Agonus cataphractus",NA,NA,NA,"MARINE","drop"
"149","Cottus indus",NA,NA,NA,"MARINE","drop"
"150","Myoxocephalus scorpius",NA,NA,NA,"MARINE","drop"
"151","Taurulus bubalis",NA,NA,NA,"MARINE","drop"
"152","Cyclopterus lumpus",NA,NA,NA,"MARINE","drop"
"153","Liparis liparis",NA,NA,NA,"MARINE","drop"
"154","Liparis montagui",NA,NA,NA,"MARINE","drop"
"155","Scorpaena notata",NA,NA,NA,"MARINE","drop"
"156","Scorpaena porcus",NA,NA,NA,"MARINE","drop"
"157","Scorpaena scrofa",NA,NA,NA,"MARINE","drop"
"158","Sebastes norvegicus",NA,NA,NA,"MARINE","drop"
"159","Chelidonichthys lucerna",NA,NA,NA,"MARINE","drop"
"160","Eutrigla gurnardus",NA,NA,NA,"MARINE","drop"
"161","Entelurus aequoreus",NA,NA,NA,"MARINE","drop"
"162","Hippocampus guttulatus",NA,NA,NA,"MARINE","drop"
"163","Hippocampus hippocampus",NA,NA,NA,"MARINE","drop"
"164","Syngnathus rostellatus",NA,NA,NA,"MARINE","drop"
"165","Syngnathus tenuirostris",NA,NA,NA,"MARINE","drop"
"166","Lophius piscatorius",NA,NA,NA,"MARINE","drop"
"167","Chelon saliens",NA,NA,NA,"MARINE","drop"
"168","Balistes capriscus",NA,NA,NA,"MARINE","drop"
"169","Mola mola",NA,NA,NA,"MARINE","drop"
"170","Arothron meleagris",NA,NA,NA,"MARINE","drop"
"171","Zeus faber",NA,NA,NA,"MARINE","drop"
