"","species"
"1","Acipenser baerii"
"2","Acipenser gueldenstaedtii"
"3","Acipenser naccarii"
"4","Acipenser nudiventris"
"5","Acipenser ruthenus"
"6","Acipenser stellatus"
"7","Acipenser sturio"
"8","Huso huso"
"9","Polyodon spathula"
"10","Anguilla anguilla"
"11","Atherina boyeri"
"12","Atherina hepsetus"
"13","Atherina presbyter"
"14","Alosa alosa"
"15","Alosa fallax"
"16","Alosa immaculata"
"17","Alosa tanaica"
"18","Clupeonella cultriventris"
"19","Cobitis bilineata"
"20","Cobitis elongata"
"21","Cobitis elongatoides"
"22","Cobitis strumicae"
"23","Cobitis taenia"
"24","Misgurnus anguillicaudatus"
"25","Misgurnus fossilis"
"26","Sabanejewia balcanica"
"27","Sabanejewia baltica"
"28","Sabanejewia larvata"
"29","Abramis brama"
"30","Alburnoides bipunctatus"
"31","Alburnoides rossicus"
"32","Alburnus alburnus"
"33","Alburnus arborella"
"34","Ballerus ballerus"
"35","Ballerus sapa"
"36","Barbus balcanicus"
"37","Barbus barbus"
"38","Barbus borysthenicus"
"39","Barbus meridionalis"
"40","Barbus peloponnesius"
"41","Barbus plebejus"
"42","Blicca bjoerkna"
"43","Carassius auratus"
"44","Carassius carassius"
"45","Carassius gibelio"
"46","Chondrostoma nasus"
"47","Chondrostoma soetta"
"48","Ctenopharyngodon idella"
"49","Cyprinus carpio"
"50","Gobio gobio"
"51","Gobio obtusirostris"
"52","Hypophthalmichthys molitrix"
"53","Hypophthalmichthys nobilis"
"54","Leucaspius delineatus"
"55","Leuciscus burdigalensis"
"56","Leuciscus idus"
"57","Leuciscus leuciscus"
"58","Parachondrostoma toxostoma"
"59","Pelecus cultratus"
"60","Petroleuciscus borysthenicus"
"61","Phoxinus phoxinus"
"62","Phoxinus septimaniae"
"63","Pimephales promelas"
"64","Protochondrostoma genei"
"65","Pseudorasbora parva"
"66","Rhodeus amarus"
"67","Rhodeus sericeus"
"68","Rhynchocypris percnurus"
"69","Romanogobio albipinnatus"
"70","Romanogobio belingi"
"71","Romanogobio kesslerii"
"72","Romanogobio uranoscopus"
"73","Romanogobio vladykovi"
"74","Rutilus meidingeri"
"75","Rutilus pigus"
"76","Rutilus rutilus"
"77","Rutilus virgo"
"78","Scardinius erythrophthalmus"
"79","Scardinius hesperidicus"
"80","Squalius cephalus"
"81","Squalius squalus"
"82","Telestes souffia"
"83","Tinca tinca"
"84","Vimba vimba"
"85","Barbatula barbatula"
"86","Aphanius fasciatus"
"87","Gambusia affinis"
"88","Gambusia holbrooki"
"89","Poecilia reticulata"
"90","Esox lucius"
"91","Umbra krameri"
"92","Umbra pygmaea"
"93","Lota lota"
"94","Gasterosteus aculeatus"
"95","Gasterosteus gymnurus"
"96","Pungitius laevis"
"97","Pungitius platygaster"
"98","Pungitius pungitius"
"99","Osmerus eperlanus"
"100","Salaria fluviatilis"
"101","Salaria pavo"
"102","Lepomis gibbosus"
"103","Micropterus salmoides"
"104","Oreochromis niloticus"
"105","Babka gymnotrachelus"
"106","Benthophiloides brauneri"
"107","Benthophilus nudus"
"108","Gobius cobitis"
"109","Gobius niger"
"110","Knipowitschia caucasica"
"111","Knipowitschia panizzae"
"112","Knipowitschia punctatissima"
"113","Mesogobius batrachocephalus"
"114","Neogobius fluviatilis"
"115","Neogobius melanostomus"
"116","Padogobius bonelli"
"117","Pomatoschistus marmoratus"
"118","Pomatoschistus microps"
"119","Pomatoschistus minutus"
"120","Ponticola kessleri"
"121","Proterorhinus marmoratus"
"122","Proterorhinus semilunaris"
"123","Zosterisessor ophiocephalus"
"124","Dicentrarchus labrax"
"125","Perccottus glenii"
"126","Gymnocephalus acerina"
"127","Gymnocephalus baloni"
"128","Gymnocephalus cernua"
"129","Gymnocephalus schraetser"
"130","Perca fluviatilis"
"131","Percarina demidoffii"
"132","Sander lucioperca"
"133","Sander volgensis"
"134","Zingel asper"
"135","Zingel streber"
"136","Zingel zingel"
"137","Sparus aurata"
"138","Platichthys flesus"
"139","Pleuronectes platessa"
"140","Coregonus albula"
"141","Coregonus arenicolus"
"142","Coregonus lavaretus"
"143","Coregonus macrophthalmus"
"144","Coregonus maraena"
"145","Coregonus oxyrinchus"
"146","Coregonus wartmanni"
"147","Hucho hucho"
"148","Oncorhynchus mykiss"
"149","Salmo salar"
"150","Salmo trutta"
"151","Salvelinus fontinalis"
"152","Salvelinus profundus"
"153","Salvelinus umbla"
"154","Thymallus thymallus"
"155","Cottus gobio"
"156","Cottus perifretum"
"157","Cottus rhenanus"
"158","Clarias gariepinus"
"159","Ameiurus melas"
"160","Ameiurus nebulosus"
"161","Ictalurus punctatus"
"162","Silurus glanis"
"163","Nerophis ophidion"
"164","Syngnathus abaster"
"165","Syngnathus acus"
"166","Chelon labrosus"
"167","Mugil cephalus"
"168","Cobitis lutheri"
"169","Misgurnus mohoity"
"170","Alburnus tarichi"
"171","Cyprinus rubrofuscus"
"172","Gobio cynocephalus"
"173","Leuciscus aspius"
"174","Leucos aula"
"175","Esox aquitanicus"
"176","Esox reichertii"
"177","Micropterus dolomieu"
"178","Cichlasoma bimaculatum"
"179","Sander canadensis"
"180","Sander vitreus"
"181","Oncorhynchus aguabonita"
"182","Pterygoplichthys gibbiceps"
"183","Pangasianodon hypophthalmus"
"184","Silurus soldatovi"
"185","Myleus pacu"
"186","Chelon auratus"
"187","Chelon ramada"
"188","Tetraodon mbu"
