gbif species,eucstat
Abramis brama,
Acipenser baerii,E
Acipenser ruthenus,
Alburnoides rossicus,
Alburnus alburnus,
Alburnus tarichi,
Anguilla anguilla,
Aphanius fasciatus,
Atherina presbyter,
Babka gymnotrachelus,
Ballerus ballerus,
Ballerus sapa,
Barbatula barbatula,
Barbus balcanicus,
Barbus barbus,
Benthophilus nudus,
Blicca bjoerkna,
Carassius auratus,E
Carassius carassius,
Carassius gibelio,
Chelon auratus,
Chelon ramada,
Chondrostoma nasus,
Cichlasoma bimaculatum,
Clarias gariepinus,
Clupeonella cultriventris,
Cobitis lutheri,
Cobitis taenia,
Coregonus albula,
Coregonus arenicolus,
Coregonus lavaretus,
Coregonus macrophthalmus,
Coregonus maraena,
Coregonus wartmanni,
Cottus gobio,
Cottus perifretum,
Cottus rhenanus,
Cyprinus carpio,
Cyprinus rubrofuscus,
Esox aquitanicus,
Esox lucius,
Esox reichertii,
Gasterosteus aculeatus,
Gobio cynocephalus,
Gobio gobio,
Gobio obtusirostris,
Gobius cobitis,
Gymnocephalus cernua,
Hucho hucho,
Huso huso,
Hypophthalmichthys nobilis,E
Leucaspius delineatus,
Leuciscus aspius,
Leuciscus burdigalensis,
Leuciscus idus,
Leuciscus leuciscus,
Leucos aula,
Lota lota,
Micropterus dolomieu,E
Misgurnus anguillicaudatus,E
Misgurnus fossilis,
Misgurnus mohoity,
Myleus pacu,
Neogobius fluviatilis,E
Neogobius melanostomus,E
Oncorhynchus aguabonita,
Oncorhynchus mykiss,
Osmerus eperlanus,
Pangasianodon hypophthalmus,
Parachondrostoma toxostoma,
Perca fluviatilis,
Percarina demidoffii,
Perccottus glenii,
Petroleuciscus borysthenicus,
Phoxinus phoxinus,
Phoxinus septimaniae,
Pleuronectes platessa,
Poecilia reticulata,E
Pomatoschistus marmoratus,
Ponticola kessleri,
Proterorhinus marmoratus,
Proterorhinus semilunaris,
Protochondrostoma genei,
Pterygoplichthys gibbiceps,
Pungitius laevis,
Pungitius platygaster,
Pungitius pungitius,
Rhodeus amarus,
Rhodeus sericeus,
Rhynchocypris percnurus,
Romanogobio albipinnatus,
Romanogobio belingi,
Romanogobio kesslerii,
Romanogobio uranoscopus,
Romanogobio vladykovi,
Rutilus meidingeri,
Rutilus rutilus,
Rutilus virgo,
Sabanejewia baltica,
Salaria pavo,
Salmo salar,
Salmo trutta,
Salvelinus profundus,
Sander canadensis,
Sander lucioperca,
Sander vitreus,
Scardinius erythrophthalmus,
Scardinius hesperidicus,
Silurus glanis,
Silurus soldatovi,
Sparus aurata,
Squalius cephalus,
Squalius squalus,
Syngnathus abaster,
Syngnathus acus,
Telestes souffia,
Tetraodon mbu,
Thymallus thymallus,
Tinca tinca,
Vimba vimba,
Zosterisessor ophiocephalus,
